"site_no","min_date","max_date","sevQ10","sevQ2","oneQ10","thirtyQ5","thirtyQ2","harmMean","comment"
"02293694",1946-10-01,1949-09-30,NA,NA,NA,NA,NA,5.95,NA
"02335757",2004-10-01,2009-09-30,NA,NA,NA,NA,NA,43,NA
"02335757",2009-10-01,2016-09-30,NA,NA,NA,15,15,58.4,NA
"02335815",2002-10-01,2009-09-30,740,740,710,802,802,1430,NA
"02335815",2009-10-01,2016-09-30,796,796,773,907,907,1540,NA
"023358685",2007-10-01,2009-09-30,NA,NA,NA,NA,NA,2.65,NA
"023358685",2009-10-01,2016-09-30,0.285,0.285,0.0813,1.12,1.12,4.88,NA
"02335870",1984-10-01,1989-09-30,NA,NA,NA,NA,NA,13.2,NA
"02335870",1989-10-01,1999-09-30,4.42,4.42,3.59,7.42,7.42,22.8,NA
"02335870",1999-10-01,2009-09-30,1.22,1.22,1.03,3.76,3.76,13.7,NA
"02335870",2009-10-01,2016-09-30,1.55,1.55,1.28,3.86,3.86,13.4,NA
"02335910",2007-10-01,2009-09-30,NA,NA,NA,NA,NA,9.17,NA
"02335910",2009-10-01,2016-09-30,1.93,1.93,1.7,3.97,3.97,10.2,NA
"02336000",1928-10-01,1929-09-30,NA,NA,NA,NA,NA,2510,NA
"02336000",1929-10-01,1939-09-30,431,431,NA,442,442,1600,NA
"02336000",1939-10-01,1949-09-30,462,462,436,503,503,1640,NA
"02336000",1949-10-01,1959-09-30,352,352,313,388,388,1190,NA
"02336000",1959-10-01,1969-09-30,998,998,666,1200,1200,2100,NA
"02336000",1969-10-01,1979-09-30,1010,1010,892,1180,1180,2120,NA
"02336000",1979-10-01,1989-09-30,860,860,844,958,958,1610,NA
"02336000",1989-10-01,1999-09-30,1020,1020,900,1170,1170,1960,NA
"02336000",1999-10-01,2009-09-30,758,758,706,839,839,1400,NA
"02336000",2009-10-01,2016-09-30,828,828,762,935,935,1650,NA
"02336030",2003-10-01,2009-09-30,0.0587,0.0587,0.0433,0.254,0.254,0.647,NA
"02336030",2009-10-01,2016-09-30,0.176,0.176,0.143,0.434,0.434,0.853,NA
"02336120",2003-10-01,2009-09-30,NA,NA,0.646,3.35,3.35,11,NA
"02336120",2009-10-01,2016-09-30,1.77,1.77,1.34,4.52,4.52,12.7,NA
"02336240",2003-10-01,2009-09-30,0.213,0.213,0.186,1.02,1.02,8.26,NA
"02336240",2009-10-01,2016-09-30,1.37,1.37,1.06,5.57,5.57,11.7,NA
"02336300",1958-10-01,1959-09-30,NA,NA,NA,NA,NA,33,NA
"02336300",1959-10-01,1969-09-30,13.6,13.6,11.1,18.9,18.9,53.5,NA
"02336300",1969-10-01,1979-09-30,11.6,11.6,10.2,15.6,15.6,53.3,NA
"02336300",1979-10-01,1989-09-30,6.73,6.73,5.76,15.1,15.1,38.4,NA
"02336300",1989-10-01,1999-09-30,11.5,11.5,9.97,15.8,15.8,48.7,NA
"02336300",1999-10-01,2009-09-30,3.17,3.17,3.02,9.39,9.39,32.3,NA
"02336300",2009-10-01,2016-09-30,4.4,4.4,3.75,11.7,11.7,34.2,NA
"02336313",2005-10-01,2009-09-30,NA,NA,NA,NA,NA,0.546,NA
"02336313",2009-10-01,2016-09-30,0.1,0.1,0.0811,0.234,0.234,0.67,NA
"02336360",2003-10-01,2009-09-30,NA,NA,0.714,3.42,3.42,11.7,NA
"02336360",2009-10-01,2016-09-30,0.936,0.936,0.599,2.4,2.4,8.33,NA
"02336410",1994-10-01,1997-09-30,NA,NA,NA,NA,NA,28.9,NA
"02336410",2002-10-01,2009-09-30,0.936,0.936,0.657,5.16,5.16,17.2,NA
"02336410",2009-10-01,2016-09-30,1.28,1.28,0.57,4.08,4.08,13.8,NA
"02336490",1981-10-01,1989-09-30,881,881,856,988,988,1700,NA
"02336490",1989-10-01,1999-09-30,1100,1100,975,1330,1330,2190,NA
"02336490",1999-10-01,2009-09-30,809,809,767,863,863,1530,NA
"02336490",2009-10-01,2016-09-30,885,885,798,1020,1020,1790,NA
"02336526",2003-10-01,2009-09-30,NA,NA,NA,1.89,1.89,5.47,NA
"02336526",2009-10-01,2016-09-30,0.813,0.813,0.75,1.39,1.39,4.17,NA
"02336635",1995-10-01,1999-09-30,NA,NA,NA,NA,NA,23.3,NA
"02336635",1999-10-01,2009-09-30,2.76,2.76,2.43,4.71,4.71,19.5,NA
"02336635",2009-10-01,2016-09-30,1.97,1.97,1.66,4.21,4.21,16.9,NA
"02336728",1994-10-01,1996-09-30,NA,NA,NA,NA,NA,22.6,NA
"02336728",2003-10-01,2009-09-30,NA,NA,NA,NA,NA,9.88,NA
"02336728",2009-10-01,2016-09-30,2.08,2.08,1.44,3.94,3.94,12.4,NA
"02336968",1998-10-01,1999-09-30,NA,NA,NA,NA,NA,9.27,NA
"02336968",1999-10-01,2009-09-30,0.399,0.399,0.186,1.21,1.21,10.8,NA
"02336968",2009-10-01,2016-09-30,1.35,1.35,1.05,2.37,2.37,11.5,NA
"02337000",1904-10-01,1905-09-30,NA,NA,NA,NA,NA,112,NA
"02337000",1937-10-01,1939-09-30,NA,NA,NA,NA,NA,117,NA
"02337000",1939-10-01,1949-09-30,23.7,23.7,22.5,29.4,29.4,139,NA
"02337000",1949-10-01,1959-09-30,3.37,3.37,2.85,4.88,4.88,68.1,NA
"02337000",1959-10-01,1969-09-30,32.5,32.5,27.4,50.1,50.1,166,NA
"02337000",1969-10-01,1979-09-30,24.7,24.7,23.4,29.2,29.2,156,NA
"02337000",1979-10-01,1989-09-30,7.09,7.09,5.18,13.9,13.9,98.9,NA
"02337000",1989-10-01,1999-09-30,14,14,10.8,21,21,143,NA
"02337000",1999-10-01,2009-09-30,2.78,2.78,2.07,7.47,7.47,66.2,NA
"02337000",2009-10-01,2016-09-30,3.36,3.36,2.41,7.85,7.85,60,NA
"02337040",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS retrieval failure"
"02337040",2003-10-01,2007-09-30,NA,NA,NA,NA,NA,25.2,NA
"02337040",2010-10-01,2016-09-30,0.826,0.826,0.199,2.8,2.8,24.9,NA
"02337170",1965-10-01,1969-09-30,NA,NA,NA,NA,NA,2800,NA
"02337170",1969-10-01,1979-09-30,1320,1320,1010,NA,NA,2770,NA
"02337170",1979-10-01,1989-09-30,1100,1100,1040,1240,1240,2190,NA
"02337170",1989-10-01,1999-09-30,1450,1450,1150,1720,1720,2820,NA
"02337170",1999-10-01,2009-09-30,956,956,918,1070,1070,1910,NA
"02337170",2009-10-01,2016-09-30,NA,NA,952,1230,1230,2220,NA
"02337500",1954-10-01,1959-09-30,NA,NA,NA,3.92,3.92,22,NA
"02337500",1959-10-01,1969-09-30,13.1,13.1,12.8,15.7,15.7,38.2,NA
"02337500",1969-10-01,1979-09-30,12,12,11.6,13.1,13.1,37.9,NA
"02337500",1979-10-01,1989-09-30,4.67,4.67,4.02,6.67,6.67,27.2,NA
"02337500",1989-10-01,1999-09-30,4.82,4.82,4.24,6.14,6.14,30.1,NA
"02337500",1999-10-01,2009-09-30,2.03,2.03,1.72,3.16,3.16,11.4,NA
"02337500",2009-10-01,2016-09-30,8.29,8.29,7.7,8.83,8.83,19.4,NA
"02338000",1938-10-01,1939-09-30,NA,NA,NA,NA,NA,2110,NA
"02338000",1939-10-01,1949-09-30,541,541,505,595,595,2270,NA
"02338000",1949-10-01,1953-09-30,NA,NA,NA,NA,NA,2300,NA
