"site_no","start_date","end_date","lam1","tau2","tau3","tau4","ar1","amplitude","phase","ma1","ma2","ma3","ma4","ma5","ma6","ma7","ma8","ma9","ma10","ma11","ma12","ma13","ma14","ma15","ma16","ma17","ma18","ma19","ma20","ma21","ma22","ma23","ma24","ma25","ma26","ma27","ma28","ma29","ma30","ma31","ma32","ma33","ma34","ma35","ma36","ma37","ma38","ma39","ma40","ma41","ma42","ma43","ma44","ma45","ml1","ml2","ml3","ml4","ml5","ml6","ml7","ml8","ml9","ml10","ml11","ml12","ml13","ml14","ml15","ml16","ml17","ml18","ml19","ml20","ml21","ml22","mh1","mh2","mh3","mh4","mh5","mh6","mh7","mh8","mh9","mh10","mh11","mh12","mh13","mh14","mh15","mh16","mh17","mh18","mh19","mh20","mh21","mh22","mh23","mh24","mh25","mh26","mh27","fl1","fl2","fl3","fh1","fh2","fh3","fh4","fh5","fh6","fh7","fh8","fh9","fh10","fh11","dl1","dl2","dl3","dl4","dl5","dl6","dl7","dl8","dl9","dl10","dl11","dl12","dl13","dl14","dl15","dl16","dl17","dl18","dl19","dl20","dh1","dh2","dh3","dh4","dh5","dh6","dh7","dh8","dh9","dh10","dh11","dh12","dh13","dh14","dh15","dh16","dh17","dh18","dh19","dh20","dh21","dh22","dh23","dh24","ta1","ta2","ta3","tl1","tl2","tl3","tl4","th1","th2","th3","ra1","ra2","ra3","ra4","ra5","ra6","ra7","ra8","ra9","comment"
"02294161","2005-10-01","2016-09-30",85.26,0.61,0.5,0.24,0.984,0.5,249.065,85.256,35,116.205,32,2.436,28.199,11.524,6.776,0.939,0.688,0.538,50.959,75.198,52.479,46.66,27.444,63.558,124.761,155.299,194.693,124.16,59.519,48.207,36.706,23.898,44.031,51.429,47.273,67.081,50.902,51.85,40.473,55.295,33.54,25.517,11.785,2.66,5.936,113.169,1.222,0.416,2.438,1.025,2.35,0.258,22.061,37.67,20.535,14.537,10.645,14.715,51.467,77.634,88.718,40.327,32.769,30.546,129.704,0.204,0.098,0.194,0.116,46.101,9.77,0.593,89.242,0.043,97.618,117.464,125.391,115.989,66.536,151.218,241.2,285.291,327.882,279.473,124.791,78.8,104.963,12.12,14.503,6.743,2.943,9.965,-0.769,2.184,120.08,83.389,45.226,4.427,7.527,10.961,7.527,4.636,71.061,2.5,4.818,57.08,90.364,34.455,6,4.818,3.091,4.818,5.636,2.182,0.455,8.706,7.672,8.632,10.571,17.441,89.242,80.116,77.526,77.323,86.874,0.249,0.247,0.302,0.434,0.239,13.5,88.042,0,NA,0,447.273,441.455,417.269,278.914,204.559,48.595,48.932,49.55,48.404,47.459,12.779,11.922,7.969,3.54,19.75,58.615,35.158,20.286,11.844,20.469,57.75,314,2.273,354.182,0.368,49.478,0.269,232.155,53.229,0.023,0.022,358.284,53.121,0.729,12.528,176.214,6.27,151.047,0.327,0.081,0.062,91.091,23.634,"none"
"02294217","1987-10-01","2016-09-30",32.334,0.767,0.638,0.38,0.97,0.302,267.113,31.958,5.69,181.091,NA,5.616,Inf,288.533,78.378,Inf,3.258,2.508,27.76,24.689,30.702,12.462,3.315,17.288,35.779,59.396,78.673,42.356,17.228,33.128,NA,NA,NA,NA,NA,NA,NA,83.687,64.069,68.871,NA,NA,59.799,4.668,11.558,186.691,2.955,0.603,5.282,2.696,4.835,0.64,11.894,10.791,16.657,3.853,1.242,1.976,17.012,24.276,35.492,10.938,6.843,6.893,231.683,NA,0.016,NA,0.018,185.375,1.596,0.604,195.616,0.017,64.756,45.209,59.258,29.883,7.996,51.675,73.412,116.805,167.23,93.626,39.738,71.685,170.688,41.532,56.569,16.506,5.097,20.352,-0.523,4.845,475.558,349.007,317.944,15.296,17.136,22.886,22.259,2.7,102.033,4,4.05,54.022,118.95,76.6,4.55,4.95,4.1,4.05,3.6,2.25,0.95,0.886,0.706,0.799,1.397,4.826,195.616,220.515,217.441,201.044,202.679,0.156,0.14,0.245,0.065,0,24.571,122.418,47.25,128.759,18,256.78,239.93,217.367,156.02,96.064,86.93,87.411,87.086,89.609,97.982,45.128,38.202,27.42,5.606,14.375,77.26,47.429,27.034,20.986,26.014,101.444,256.5,5.85,335.15,0.21,32.837,0.222,207.351,52.762,0,0.181,349.361,54.673,0.268,8.559,296.734,3.13,236.642,0.223,0.134,0.083,70.95,24.965,"weighted"
"02294491","1964-10-01","2014-09-30",57.87,0.81,0.65,0.34,0.98,0.24,254.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EflowStats error"
"02294650","1939-10-01","2016-09-30",214.48,0.63,0.51,0.28,0.987,0.33,251.155,214.485,92,117.938,28.83,2.331,41.214,12.451,8.031,0.822,0.558,0.461,166.085,171.961,204.516,154.203,77.307,145.878,267.526,369.282,449.341,304.06,133.799,126.917,36.782,36.897,46.33,44.947,53.244,64.141,41.953,38.749,43.373,53.437,37.553,31.958,25.183,2.1,5.191,133.622,0.965,0.55,4.62,1.22,2.287,0.246,76.996,89.489,96.075,68.962,32.474,39.949,129.52,198.607,215.881,117.939,71.702,71.934,150.487,0.164,0.091,0.128,0.106,80.687,9.145,0.643,124.896,0.052,298.362,301.636,382.831,286.1,151.663,323.49,469.71,620.243,790.942,604.432,257.551,209.771,130.5,9.953,16.739,6.272,2.793,11.103,-0.468,3.028,123.104,83.642,66.81,4.34,6.762,11.629,6.428,4.052,84.918,5.371,4.857,67.686,84.974,30.571,5.697,4.558,2.26,4.857,4.87,3.519,1.039,20.475,21.305,22.956,32.47,53.989,124.896,124.206,119.542,120.086,103.667,0.223,0.25,0.353,0.348,0.152,10.5,133.947,0.974,527.451,0,1181.005,1157.232,1082.178,813.74,549.397,74.97,74.798,73.763,75.627,73.203,12.837,11.763,8.845,3.519,17.333,63.922,37.592,20.575,14.621,20.69,69.45,272.909,6.221,323.961,0.369,42.539,0.056,236.117,52.47,0,0.249,347.429,50.533,0.066,29.368,227.361,15.376,178.957,0.317,0.087,0.061,85.117,19.253,"none"
"02294655","2002-10-01","2015-09-30",181.72,0.74,0.59,0.34,0.991,0.41,252.208,181.719,41.55,147.27,NA,4.373,3001.765,59.207,28.949,2.148,1.095,0.903,139.53,83.104,115.455,64.357,37.454,144.605,261.447,334.269,492.288,283.905,98.806,118.958,61.999,46.964,121.952,153.119,NA,114.686,57.493,53.151,45.519,60.209,41.893,93.662,48.221,3.966,9.804,178.508,2.419,0.46,5.512,2.923,5.212,0.878,47.32,37.912,46.872,20.85,15.952,22.436,129.768,166.115,187.148,92.208,59.298,45.865,193.995,0.029,0.016,0,0.02,199.209,1.6,0.666,258.732,0.019,262.058,142.388,245.89,141.783,89.294,325.838,460.257,559.077,807.169,611.977,177.859,207.761,162.72,17.097,40.075,12.282,5.006,15.647,-0.015,3.097,295.891,310.209,208.535,7.609,13.114,15.519,13.773,3.462,112.268,4.7,4.154,59.658,123.462,66.231,5.308,3.923,3.615,4.154,4.462,3.769,0.846,7.408,6.649,7.379,16.024,25.673,258.732,316.624,311.623,298.617,249.284,0.178,0.178,0.386,0.173,0.004,23,109.372,33.923,113.019,2,1223.462,1204,1142.752,869.225,545.267,102.879,102.613,101.832,105.652,100.218,29.446,27.503,20.92,4.407,15,71.421,39.567,35.667,19.568,23.7,77.413,271.885,8.231,331.154,0.219,36.256,0.209,171.287,61.774,0.025,0.123,356.938,33.485,0.427,25.045,222.442,13.227,214.57,0.312,0.113,0.076,76.308,23.156,"none"
"02294775","2002-10-01","2016-09-30",171.72,0.73,0.57,0.31,0.991,0.41,250.073,171.718,44.15,156.713,NA,3.889,Inf,Inf,Inf,Inf,Inf,Inf,137.389,105.537,103.561,67.302,33.441,148.144,252.538,317.471,447.812,251.636,91.566,100.619,NA,NA,NA,NA,NA,NA,NA,92.436,45.383,75.171,NA,NA,36.58,3.647,7.92,167.227,2.004,0.434,5.856,2.478,5.158,0.864,40.424,44.971,40.143,16.989,9.798,17.437,116.842,165.021,182.691,76.579,50.937,38.743,200.186,NA,0.015,NA,0.019,223.44,1.473,0.688,270.266,0.016,280.699,188.179,241.729,162.807,84.45,372.058,452.571,524.808,702.943,518.836,189.305,177.343,142.651,39.636,37.792,11.438,4.689,14.723,-0.662,2.672,266.529,232.964,172.088,7.761,11.751,14.949,13.025,0,NA,4.833,4.143,72.635,118.429,60.857,5.286,4.429,3.5,4.143,3.714,3.714,0.571,6.382,5.401,6.079,13.892,23.322,270.266,336.457,323.244,310.973,252.036,0.145,0.138,0.315,0,0,0,NA,95.214,97.222,27,1058.136,1043.517,996.436,760.007,490.532,85.972,86.02,86.566,97.357,92.004,23.967,22.569,17.214,4.315,19.167,45.16,40.587,30.145,18.522,24.075,96.949,290.214,5,328.143,0.282,40.63,0.269,71.75,73.25,0.017,0.123,346.17,41.567,0.403,28.465,178.995,16.101,170.382,0.268,0.108,0.082,55.143,43.615,"none"
"02294781","2001-10-01","2016-09-30",188.13,0.72,0.58,0.33,0.991,0.42,253.622,188.128,52,143.975,51.445,3.618,195.057,55.828,26.42,1.335,1.018,0.829,155.742,109.713,109.634,70.546,35.428,150.445,269.06,333.672,504.087,289.958,103.684,121.116,46.943,36.469,64.545,63.288,76.743,102.24,51.491,48.771,41.26,61.538,41.143,43.552,36.488,3.257,8.005,167.111,1.971,0.458,5.48,2.335,4.806,0.752,47.336,52.086,41.366,19.601,11.58,20.34,131.417,169.645,221.923,97.239,58.389,45.507,186.885,0.066,0.03,0.015,0.036,130.858,3.007,0.639,206.632,0.023,304.447,188.009,245.373,172.107,87.699,387.052,474.4,548.089,785.92,617.707,203.56,211.377,148.674,25.294,35.462,9.865,4.115,15.398,-0.694,2.845,286.205,219.94,188.349,7.307,11.463,15.642,11.217,3.067,104.192,3.5,4.533,61.192,113.8,54.2,4.6,4.2,2.867,4.533,4.067,2.4,0.933,9.399,8.751,10.163,20.182,43.571,206.632,225.93,214.664,213.363,171.947,0.181,0.195,0.388,0.156,0.051,17,156.336,4.667,141.602,0,1169.327,1154.071,1099.695,842.124,530.872,90.403,90.246,89.694,96.05,92.577,22.487,21.148,16.195,4.175,15.6,46.577,48.018,31.036,20.846,22,87.426,263.367,8.267,328.133,0.227,35.688,0.17,225.444,38.721,0.021,0.145,351.5,38.307,0.389,22.924,217.014,12.745,205.651,0.347,0.089,0.068,69.067,19.406,"none"
"02294898","1974-10-01","2016-09-30",194.1,0.67,0.54,0.31,0.991,0.32,254.688,194.096,73.7,127.752,36.633,2.634,86.935,17.188,9.885,1.038,0.661,0.533,168.631,153.191,172.549,123.579,65.117,128.714,241.903,343.092,413.252,268.305,117.942,129.489,42.986,43.936,55.975,62.18,77.707,91.259,48.808,42.944,45.224,58.051,47.374,43.259,24.514,2.535,6.311,145.129,1.379,0.404,5.017,1.185,3.176,0.446,77.283,74.498,90.101,35.526,12.962,32.079,123.206,176.498,186.519,92.709,53.905,54.085,195.873,0.065,0.035,0.053,0.049,97.002,3.458,0.658,138.645,0.015,288.007,279.25,290.723,253.503,151.62,296.367,441.669,539.917,691.4,517.01,230.417,228.805,120.764,11.342,20.76,7.313,2.904,9.298,-0.501,2.086,97.907,101.019,108.417,3.618,6.986,11.764,6.806,7.286,93.597,6.969,5.214,55.476,88.595,38.452,8.071,5.048,2.357,5.214,8.262,2.952,0.976,7.31,7.425,9.179,18.527,43.377,138.645,132.724,131.9,158.244,135.982,0.099,0.125,0.251,0.294,0.084,7.75,117.78,0,NA,0,1001.357,976.698,941.541,755.794,517.221,58.446,60.436,62.075,68.87,75.28,13.587,12.775,10.255,4.126,12.917,70.529,25.065,19.38,18.146,19.186,37.479,281.726,11.048,323.929,0.297,37.076,0.093,235.937,36.608,0,0.345,352.505,50.476,0.079,24.284,177.301,15.104,148.684,0.371,0.12,0.087,110.714,33.016,"none"
"02295420","1963-10-01","2016-09-30",113.017,0.592,0.523,0.341,0.915,0.386,239.68,113.02,59.073,127.451,27.597,1.962,25.64,7.508,4.785,0.799,0.497,0.387,80.538,86.277,93.604,56.845,40.732,107.221,165.392,222.357,237.916,129.794,67.145,66.611,42.01,43.677,55.3,60.289,62.672,79.486,58.599,51.841,60.7,56.933,43.163,36.466,12.839,1.413,3.424,115.9,0.592,0.934,2.066,0.685,1.594,0.087,37.706,42.715,40.082,23.649,15.277,22.39,62.183,82.646,77.174,48.897,33.818,32.164,104.267,0.143,0.082,0.152,0.101,67.605,8.126,0.535,80.664,0.081,189.897,241.588,269.689,149.029,125.434,361.317,402.513,558.049,660.195,364.366,167.058,142.543,139.072,17.26,15.439,4.596,2.08,10.931,0.17,8.93,52.506,34.567,28.773,4.822,7.856,13.776,6.324,6.122,57.195,4.041,8.878,41.275,62.146,17.83,9.147,7.073,3.439,8.878,7.146,3.146,1.268,9.799,9.615,11.053,17.75,30.156,80.664,82.504,82.012,84.269,77.949,0.162,0.184,0.296,0.437,0.18,9.458,86.863,0,NA,0,1080.488,908.016,724.06,430.371,280.869,72.597,69.52,64.796,59.58,51.8,19.341,12.872,7.639,3.342,9.751,58.556,21.769,9.244,5.313,10.818,44.381,248.232,2.927,327.195,0.369,47.415,0.2,238.337,46.285,0.019,0.079,325.752,55.954,0.175,33.45,287.437,16.685,243,0.317,0.12,0.094,102.586,12.558,"weighted"
"02296223","1952-10-01","1982-09-30",35.87,0.75,0.61,0.36,0.96,0.45,236.116,35.874,8.4,173.071,158.82,4.271,685.714,127.5,50.667,3.068,2.278,1.844,16.297,18.837,23.252,10.842,4.593,48.6,67.032,65.074,92.315,56.789,14.563,11.516,65.735,63.078,81.607,108.132,NA,NA,NA,79.849,66.166,93.761,74.784,68.705,28.247,3.071,7.856,161.597,1.688,0.856,3.213,1.255,1.943,0.195,4.087,5.058,5.621,1.574,0.17,3.16,19.7,21.074,29.836,11.981,3.068,3.64,231.461,0.009,0.003,0,0.004,142.035,0.279,0.441,184.214,0.002,38.416,48.97,59.182,32.703,22.268,144.642,153.133,157.103,215.733,151.409,43.874,31.878,150.901,39.118,44.098,11.429,4.524,10.482,-0.042,8.385,213.306,165.225,143.322,10.46,13.268,19.713,15.87,4.2,48.19,4.5,6.333,43.752,119.1,62.967,7.1,7,5.3,6.333,5.233,1.9,1.267,0.086,0.096,0.153,0.586,4.412,184.214,167.991,186.36,244.895,118.23,0.01,0.018,0.07,0.089,0.017,18.107,62.189,17.467,158.453,5,351.333,327.6,289.786,187.289,118.977,58.505,59.512,61.346,60.728,59.387,41.825,34.498,22.296,3.708,13.839,55.245,29.112,18.905,13.028,15.884,63.092,242.967,3.733,326.033,0.208,31.87,0.142,221.192,62.065,0.015,0.104,337.98,41.537,0.274,11.505,264.532,5.191,189.197,0.258,0.195,0.123,69.7,16.544,"none"
