"comid","site_no","huc12","dec_long_va","dec_lat_va","decade","dni_ann","dni_jan","dni_feb","dni_mar","dni_apr","dni_may","dni_jun","dni_jul","dni_aug","dni_sep","dni_oct","dni_nov","dni_dec"
"1009042","07344500","111403050303",-94.8821554,33.02095787,1950,4.6793175799,3.8377311828,3.8934404762,4.1618844086,4.9268138889,4.6365672043,5.2862444444,6.1015967742,5.8433682796,5.0951638889,4.6111693548,3.8704666667,3.8261962366
"1009042","07344500","111403050303",-94.8821554,33.02095787,1960,4.6793175799,3.8377311828,3.8934404762,4.1618844086,4.9268138889,4.6365672043,5.2862444444,6.1015967742,5.8433682796,5.0951638889,4.6111693548,3.8704666667,3.8261962366
"1009042","07344500","111403050303",-94.8821554,33.02095787,1970,4.6793175799,3.8377311828,3.8934404762,4.1618844086,4.9268138889,4.6365672043,5.2862444444,6.1015967742,5.8433682796,5.0951638889,4.6111693548,3.8704666667,3.8261962366
"1009042","07344500","111403050303",-94.8821554,33.02095787,1980,4.6793175799,3.8377311828,3.8934404762,4.1618844086,4.9268138889,4.6365672043,5.2862444444,6.1015967742,5.8433682796,5.0951638889,4.6111693548,3.8704666667,3.8261962366
"1009042","07344500","111403050303",-94.8821554,33.02095787,1990,4.6793175799,3.8377311828,3.8934404762,4.1618844086,4.9268138889,4.6365672043,5.2862444444,6.1015967742,5.8433682796,5.0951638889,4.6111693548,3.8704666667,3.8261962366
"1009042","07344500","111403050303",-94.8821554,33.02095787,2000,4.6793175799,3.8377311828,3.8934404762,4.1618844086,4.9268138889,4.6365672043,5.2862444444,6.1015967742,5.8433682796,5.0951638889,4.6111693548,3.8704666667,3.8261962366
"1009154","07345000","111403050306",-94.7877084,33.0362364,1950,4.6656908676,3.7875672043,3.8339761905,4.1719086022,4.9467638889,4.6827903226,5.2714333333,6.0063333333,5.7922715054,5.1061972222,4.5955107527,3.8795888889,3.8509193548
"1009154","07345000","111403050306",-94.7877084,33.0362364,1960,4.6656908676,3.7875672043,3.8339761905,4.1719086022,4.9467638889,4.6827903226,5.2714333333,6.0063333333,5.7922715054,5.1061972222,4.5955107527,3.8795888889,3.8509193548
"1009154","07345000","111403050306",-94.7877084,33.0362364,1970,4.6656908676,3.7875672043,3.8339761905,4.1719086022,4.9467638889,4.6827903226,5.2714333333,6.0063333333,5.7922715054,5.1061972222,4.5955107527,3.8795888889,3.8509193548
"1009154","07345000","111403050306",-94.7877084,33.0362364,1980,4.6656908676,3.7875672043,3.8339761905,4.1719086022,4.9467638889,4.6827903226,5.2714333333,6.0063333333,5.7922715054,5.1061972222,4.5955107527,3.8795888889,3.8509193548
