agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd	water_yr	num_dvs
USGS	02301802	1975-09-23	NA	293	1,C	NA	NA	NA	NA	NA	NA	NA	1975	365
USGS	02301802	1976-06-05	NA	219	1,C	NA	NA	NA	NA	NA	NA	NA	1976	366
USGS	02301802	1977-09-25	NA	354	1,C	NA	NA	NA	NA	NA	NA	NA	1977	365
USGS	02301802	1978-02-18	NA	416	1,C	NA	NA	NA	NA	NA	NA	NA	1978	365
USGS	02301802	1979-09-30	NA	3860	1,C	NA	NA	NA	NA	NA	NA	NA	1979	365
USGS	02301802	1979-10-02	NA	3880	1,C	NA	NA	NA	NA	NA	NA	NA	1980	366
USGS	02301802	1981-02-08	NA	445	1,C	NA	NA	NA	NA	NA	NA	NA	1981	365
USGS	02301802	1982-09-30	NA	1540	1,C	NA	NA	NA	NA	NA	NA	NA	1982	365
USGS	02301802	1983-02-17	NA	2370	1,C	NA	NA	NA	NA	NA	NA	NA	1983	365
USGS	02301802	1984-01-01	NA	640	1,C	NA	NA	NA	NA	NA	NA	NA	1984	366
USGS	02301802	1985-09-06	NA	5260	1,C	NA	NA	NA	NA	NA	NA	NA	1985	365
USGS	02301802	1986-03-16	NA	346	1,C	NA	NA	NA	NA	NA	NA	NA	1986	365
USGS	02301802	1987-04-02	NA	6330	1,C	NA	NA	NA	NA	NA	NA	NA	1987	365
USGS	02301802	1988-09-10	NA	10800	1,C	NA	NA	NA	NA	NA	NA	NA	1988	366
USGS	02301802	1988-11-23	NA	1540	1,C	NA	NA	NA	NA	NA	NA	NA	1989	365
USGS	02304500	1939-07-14	NA	2920	1,6,C	NA	NA	NA	NA	NA	NA	NA	1939	365
USGS	02304500	1940-02-22	NA	1250	1,6,C	NA	NA	NA	NA	NA	NA	NA	1940	366
USGS	02304500	1941-04-09	NA	4400	1,6,C	NA	NA	NA	NA	NA	NA	NA	1941	365
USGS	02304500	1942-03-10	NA	2230	1,6,C	NA	NA	NA	NA	NA	NA	NA	1942	365
USGS	02304500	1943-07-26	NA	3290	1,6,C	NA	NA	NA	NA	NA	NA	NA	1943	365
USGS	02304500	1944-08-18	NA	1770	1,6,C	NA	NA	NA	NA	NA	NA	NA	1944	366
USGS	02304500	1945-07-29	NA	9690	1,6,C	NA	NA	NA	NA	NA	NA	NA	1945	365
USGS	02304500	1946-08-05	NA	2610	1,6,C	NA	NA	NA	NA	NA	NA	NA	1946	365
USGS	02304500	1947-09-25	NA	7580	1,6,C	NA	NA	NA	NA	NA	NA	NA	1947	365
USGS	02304500	1947-10-01	NA	5800	1,6,C	NA	NA	NA	NA	NA	NA	NA	1948	366
USGS	02304500	1949-09-02	NA	5420	1,6,C	NA	NA	NA	NA	NA	NA	NA	1949	365
USGS	02304500	1950-09-10	NA	8990	1,6,C	NA	NA	NA	NA	NA	NA	NA	1950	365
USGS	02304500	1951-09-25	NA	1500	1,6,C	NA	NA	NA	NA	NA	NA	NA	1951	365
USGS	02304500	1952-04-05	NA	1900	1,6,C	NA	NA	NA	NA	NA	NA	NA	1952	366
USGS	02304500	1953-09-30	NA	6830	1,6,C	NA	NA	NA	NA	NA	NA	NA	1953	365
USGS	02304500	1953-10-01	NA	6800	1,6,C	NA	NA	NA	NA	NA	NA	NA	1954	365
USGS	02304500	1955-09-15	NA	1980	1,6,C	NA	NA	NA	NA	NA	NA	NA	1955	365
USGS	02304500	1956-09-28	NA	810	1,6,C	NA	NA	NA	NA	NA	NA	NA	1956	366
USGS	02304500	1957-08-10	NA	3810	1,6,C	NA	NA	NA	NA	NA	NA	NA	1957	365
USGS	02304500	1957-10-06	NA	3180	1,6,C	NA	NA	NA	NA	NA	NA	NA	1958	365
USGS	02304500	1959-03-24	NA	7390	1,6,C	NA	NA	NA	NA	NA	NA	NA	1959	365
USGS	02304500	1960-03-21	NA	13500	1,6,C	NA	NA	NA	NA	NA	NA	NA	1960	366
USGS	02304500	1960-10-01	NA	3380	1,6,C	NA	NA	NA	NA	NA	NA	NA	1961	365
USGS	02304500	1962-09-24	NA	3830	1,6,C	NA	NA	NA	NA	NA	NA	NA	1962	365
USGS	02304500	1963-03-06	NA	2090	1,6,C	NA	NA	NA	NA	NA	NA	NA	1963	365
USGS	02304500	1964-09-17	NA	4940	1,6,C	NA	NA	NA	NA	NA	NA	NA	1964	366
USGS	02304500	1965-08-15	NA	6340	1,6,C	NA	NA	NA	NA	NA	NA	NA	1965	365
USGS	02304500	1966-08-11	NA	3040	1,6,C	NA	NA	NA	NA	NA	NA	NA	1966	365
USGS	02304500	1967-08-19	NA	4520	1,6,C	NA	NA	NA	NA	NA	NA	NA	1967	365
USGS	02304500	1968-07-12	NA	3370	1,6,C	NA	NA	NA	NA	NA	NA	NA	1968	366
USGS	02304500	1969-09-25	NA	4830	1,6,C	NA	NA	NA	NA	NA	NA	NA	1969	365
USGS	02304500	1969-10-06	NA	4100	1,6,C	NA	NA	NA	NA	NA	NA	NA	1970	365
USGS	02304500	1971-09-18	NA	2010	1,6,C	NA	NA	NA	NA	NA	NA	NA	1971	365
USGS	02304500	1971-10-10	NA	801	1,6,C	NA	NA	NA	NA	NA	NA	NA	1972	366
USGS	02304500	1973-09-14	NA	1350	1,6,C	NA	NA	NA	NA	NA	NA	NA	1973	365
USGS	02304500	1974-07-01	NA	3720	1,6,C	NA	NA	NA	NA	NA	NA	NA	1974	365
USGS	02304500	1975-08-21	NA	2140	1,6,C	NA	NA	NA	NA	NA	NA	NA	1975	365
