"site_no"	"count_dvs"	"approx_por_pct"	"begin_cal_year"	"end_cal_year"	"active"
"02293694"	4747	99	1946	1959	FALSE
"02293986"	9038	103	1947	1971	FALSE
"02294068"	9417	103	1946	1971	FALSE
"02294161"	4103	102	2005	2016	TRUE
"02294217"	7915	74	1987	2016	TRUE
"02294491"	18574	99	1963	2014	FALSE
"02294650"	28125	100	1939	2016	TRUE
"02294655"	5252	102	2002	2016	TRUE
"02294775"	5253	102	2002	2016	TRUE
"02294781"	5479	100	2001	2016	TRUE
"02294898"	15463	100	1974	2016	TRUE
"02295163"	4236	72	2000	2016	TRUE
"02295420"	15341	79	1963	2016	TRUE
"02296223"	11564	102	1952	1983	FALSE
"02296260"	4354	99	2004	2016	TRUE
"02296500"	24260	100	1950	2016	TRUE
"02296750"	31230	100	1931	2016	TRUE
"02297100"	24253	100	1950	2016	TRUE
"02297155"	14245	100	1977	2016	TRUE
"02297310"	23895	99	1950	2016	TRUE
"02298123"	16070	83	1963	2016	TRUE
"02298202"	16344	87	1965	2016	TRUE
"02298488"	6125	93	1998	2016	TRUE
"02298492"	6483	104	1999	2016	TRUE
"02298495"	6483	104	1999	2016	TRUE
"02298527"	6483	104	1999	2016	TRUE
"02298530"	6393	102	1999	2016	TRUE
"02298608"	15578	80	1963	2016	TRUE
"02298760"	10208	84	1983	2016	TRUE
"02298830"	29250	100	1936	2016	TRUE
"02299410"	13149	100	1980	2016	TRUE
"02299861"	9193	100	1991	2016	TRUE
"02299950"	18427	100	1966	2016	TRUE
"02300000"	9953	100	1939	1966	FALSE
"02300018"	5844	100	2000	2016	TRUE
"02300032"	6666	101	1988	2006	FALSE
"02300033"	3937	97	2005	2016	TRUE
"02300034"	4995	97	1988	2002	FALSE
"023000355"	4839	101	1988	2001	FALSE
"02300037"	4839	101	1988	2001	FALSE
"02300038"	4839	101	1988	2001	FALSE
"02300039"	4839	101	1988	2001	FALSE
"02300082"	3837	95	2005	2016	TRUE
"02300210"	5844	100	2000	2016	TRUE
"02300300"	6333	59	1987	2016	TRUE
"02300500"	28308	100	1939	2016	TRUE
"02300530"	4016	99	1980	1991	FALSE
"02300700"	15126	69	1956	2016	TRUE
"02301000"	23257	96	1950	2016	TRUE
"02301300"	19632	101	1963	2016	TRUE
"02301350"	4779	100	1966	1979	FALSE
"02301500"	30681	100	1932	2016	TRUE
"02301738"	6452	103	1999	2016	TRUE
"02301740"	6452	103	1999	2016	TRUE
"02301745"	6445	103	1999	2016	TRUE
"02301750"	11688	100	1984	2016	TRUE
"02301793"	6450	103	1999	2016	TRUE
"02301800"	6006	91	1956	1974	FALSE
"02301802"	5752	98	1974	1990	FALSE
"02301900"	19267	101	1964	2016	TRUE
"02301990"	12054	100	1983	2016	TRUE
"02302500"	24015	101	1951	2016	TRUE
"02303000"	28122	99	1939	2016	TRUE
"02303100"	3865	105	1964	1974	FALSE
"02303205"	8542	97	1992	2016	TRUE
"02303300"	8128	63	1956	1991	FALSE
"02303330"	15861	98	1972	2016	TRUE
"02303350"	15463	100	1974	2016	TRUE
"02303400"	19368	100	1963	2016	TRUE
"02303420"	15462	100	1974	2016	TRUE
"02303800"	19207	101	1964	2016	TRUE
"02304500"	28443	99	1938	2016	TRUE
"02305851"	6309	101	1999	2016	TRUE
"02306289"	4295	97	1970	1982	FALSE
"02306500"	23742	100	1951	2016	TRUE
"02306647"	11323	100	1985	2016	TRUE
"02306774"	11323	100	1985	2016	TRUE
"02307243"	3744	102	1946	1956	FALSE
"02307323"	11518	68	1970	2016	TRUE
"02307359"	24137	100	1950	2016	TRUE
"02307445"	3686	100	2006	2016	TRUE
"02307668"	5114	66	1995	2016	TRUE
"02307780"	4749	100	2003	2016	TRUE
"02308865"	4383	100	2004	2016	TRUE
"02308870"	6257	100	1999	2016	TRUE
"02308889"	7730	100	1950	1971	FALSE
"02308935"	8523	72	1984	2016	TRUE
"02309415"	6263	100	1999	2016	TRUE
"02309421"	5224	102	2002	2016	TRUE
"02309425"	6263	100	1999	2016	TRUE
"02309848"	17044	101	1970	2016	TRUE
"02309980"	4017	99	1983	1994	FALSE
"02310000"	25653	100	1946	2016	TRUE
"02310280"	12054	100	1983	2016	TRUE
"02310300"	19542	100	1963	2016	TRUE
"02310800"	12844	100	1958	1993	FALSE
"02310947"	17806	99	1967	2016	TRUE
"02311500"	13180	41	1930	2016	TRUE
"02312000"	31779	98	1928	2016	TRUE
"02312200"	21246	100	1958	2016	TRUE
"02312300"	4597	104	2004	2016	TRUE
"02312500"	28125	100	1939	2016	TRUE
"02312558"	4597	104	2004	2016	TRUE
"02312598"	3992	99	2005	2016	TRUE
"02312600"	12054	100	1983	2016	TRUE
"02312635"	4934	90	1976	1991	FALSE
"02312640"	19359	100	1963	2016	TRUE
"02312645"	7734	57	1979	2016	TRUE
"02312690"	6053	57	1963	1992	FALSE
"02312700"	18982	96	1962	2016	TRUE
"02312720"	18315	98	1965	2016	TRUE
"02313000"	31230	97	1928	2016	TRUE
"02313230"	17151	99	1969	2016	TRUE
"02314200"	10599	100	1963	1992	FALSE
"02314500"	30795	94	1927	2016	TRUE
"02315000"	12983	42	1932	2015	FALSE
"02315200"	4929	61	1976	1998	FALSE
"02315500"	33694	83	1906	2016	TRUE
"02315520"	4612	97	1976	1989	FALSE
"02315550"	9862	64	1974	2016	TRUE
"02316000"	19542	67	1937	2016	TRUE
"02317500"	31130	89	1921	2016	TRUE
"023177483"	10339	101	1988	2016	TRUE
"02318000"	16620	59	1940	2016	TRUE
"02318500"	15013	46	1928	2016	TRUE
"02319300"	4343	99	2004	2016	TRUE
"02319500"	32750	100	1927	2016	TRUE
"02319800"	7305	100	1996	2016	TRUE
"02320000"	11294	34	1927	2016	TRUE
"02320500"	31139	100	1931	2016	TRUE
"02320700"	17561	81	1957	2016	TRUE
"02321000"	17145	71	1950	2016	TRUE
"02322016"	3761	102	1984	1994	FALSE
